gender,count,char,position,pinyin
m,30,赛,1,sai
m,30,要,1,yao
m,30,尤,1,you
m,29,浙,1,zhe
m,29,镭,1,lei
m,29,随,1,sui
m,29,持,1,chi
m,29,榕,1,rong
m,29,徐,1,xu
m,29,枢,1,shu
m,28,黄,1,huang
m,28,棣,1,di
m,28,亲,1,qin
m,28,焯,1,chao
m,28,机,1,ji
m,28,玮,1,wei
m,28,想,1,xiang
m,28,著,1,zhu
m,28,箭,1,jian
m,28,空,1,kong
m,28,禧,1,xi
m,27,拯,1,zheng
m,27,穗,1,sui
m,27,吾,1,wu
m,27,愈,1,yu
m,27,曾,1,ceng
m,27,沪,1,hu
m,27,十,1,shi
m,27,淑,1,shu
m,27,枭,1,xiao
m,27,羊,1,yang
m,26,骐,1,qi
m,26,虹,1,hong
m,26,荆,1,jing
m,26,共,1,gong
m,26,盘,1,pan
m,26,苍,1,cang
m,26,妙,1,miao
m,26,仙,1,xian
m,26,响,1,xiang
m,26,营,1,ying
m,26,铮,1,zheng
m,26,珠,1,zhu
m,26,电,1,dian
m,26,渤,1,bo
m,26,徒,1,tu
m,25,辽,1,liao
m,25,烨,1,ye
m,25,峪,1,yu
m,25,聿,1,yu
m,25,宫,1,gong
m,25,垄,1,long
m,25,翊,1,yi
m,25,葆,1,bao
m,25,表,1,biao
m,25,夕,1,xi
m,24,铜,1,tong
m,24,果,1,guo
m,24,晶,1,jing
m,24,阅,1,yue
m,24,汶,1,wen
m,24,优,1,you
m,24,庄,1,zhuang
m,24,房,1,fang
m,24,敖,1,ao
m,24,沧,1,cang
m,24,曹,1,cao
m,24,恺,1,kai
m,24,瞻,1,zhan
m,24,资,1,zi
m,23,沐,1,mu
m,23,垣,1,yuan
m,23,铠,1,kai
m,23,速,1,su
m,23,奥,1,ao
m,23,枫,1,feng
m,23,过,1,guo
m,23,晃,1,huang
m,23,境,1,jing
m,23,励,1,li
m,23,燎,1,liao
m,23,仪,1,yi
m,23,虞,1,yu
m,23,支,1,zhi
m,23,铉,1,xuan
m,23,惊,1,jing
m,22,佛,1,fu
m,22,恪,1,ke
m,22,域,1,yu
m,22,履,1,lv
m,22,冈,1,gang
m,22,郭,1,guo
m,22,含,1,han
m,22,玖,1,jiu
m,22,杏,1,xing
m,21,弥,1,mi
m,21,期,1,qi
m,21,极,1,ji
m,21,驹,1,ju
m,21,唯,1,wei
m,21,岱,1,dai
m,21,鄂,1,e
m,21,彰,1,zhang
m,21,讯,1,xun
m,21,赐,1,ci
m,21,横,1,heng
m,21,滋,1,zi
m,20,爵,1,jue
m,20,分,1,fen
m,20,涧,1,jian
m,20,约,1,yue
m,20,领,1,ling
m,20,彩,1,cai
m,20,宠,1,chong
m,20,佃,1,dian
m,20,傅,1,fu
m,20,闽,1,min
m,20,巧,1,qiao
m,20,宋,1,song
m,20,未,1,wei
m,20,伍,1,wu
m,20,状,1,zhuang
m,20,忆,1,yi
m,19,衣,1,yi
m,19,防,1,fang
m,19,赋,1,fu
m,19,榜,1,bang
m,19,落,1,luo
m,19,搏,1,bo
m,19,甘,1,gan
m,19,绩,1,ji
m,19,蒙,1,meng
m,19,遐,1,xia
m,19,蕴,1,yun
m,19,辛,1,xin
m,19,墨,1,mo
m,18,提,1,ti
m,18,第,1,di
m,18,乙,1,yi
m,18,贡,1,gong
m,18,庶,1,shu
m,18,伸,1,shen
m,18,详,1,xiang
m,18,操,1,cao
m,18,盖,1,gai
m,18,赫,1,he
m,18,沈,1,shen
m,18,坝,1,ba
m,18,骋,1,cheng
m,18,赣,1,gan
m,18,恢,1,hui
m,18,稼,1,jia
m,18,洁,1,jie
m,18,炉,1,lu
m,18,纳,1,na
m,18,烜,1,xuan
m,18,瑜,1,yu
m,18,扶,1,fu
m,17,耐,1,nai
m,17,翱,1,ao
m,17,劭,1,shao
m,17,泗,1,si
m,17,旻,1,min
m,17,激,1,ji
m,17,泾,1,jing
m,17,腊,1,la
m,17,舒,1,shu
m,17,艾,1,ai
m,17,丹,1,dan
m,17,睦,1,mu
m,17,绳,1,sheng
m,17,潇,1,xiao
m,17,造,1,zao
m,17,滕,1,teng
m,17,曰,1,yue
m,17,韩,1,han
m,17,绥,1,sui
m,17,枝,1,zhi
m,16,巩,1,gong
m,16,鹄,1,gu
m,16,敢,1,gan
m,16,孚,1,fu
m,16,务,1,wu
m,16,旌,1,jing
m,16,率,1,lv
m,16,顾,1,gu
m,16,何,1,he
m,16,岚,1,lan
m,16,论,1,lun
m,16,史,1,shi
m,16,司,1,si
m,16,溯,1,su
m,16,慰,1,wei
m,16,也,1,ye
m,16,巴,1,ba
m,16,问,1,wen
m,15,次,1,ci
m,15,符,1,fu
m,15,交,1,jiao
m,15,角,1,jiao
m,15,彤,1,tong
m,15,涯,1,ya
m,15,宴,1,yan
m,15,昀,1,yun
m,15,晏,1,yan
m,15,镛,1,yong
m,15,荐,1,jian
m,15,捍,1,han
m,15,材,1,cai
m,15,畅,1,chang
m,15,洞,1,dong
m,15,阜,1,fu
m,15,七,1,qi
m,15,引,1,yin
m,15,盈,1,ying
m,15,裔,1,yi
m,15,企,1,qi
m,15,咏,1,yong
m,15,总,1,zong
m,14,去,1,qu
m,14,澜,1,lan
m,14,毛,1,mao
m,14,施,1,shi
m,14,茁,1,zhuo
m,14,霁,1,ji
m,14,项,1,xiang
m,14,汗,1,han
m,14,肯,1,ken
m,14,苗,1,miao
m,14,泮,1,pan
m,14,洽,1,qia
m,14,蜀,1,shu
m,14,桃,1,tao
m,14,晔,1,ye
m,14,镒,1,yi
m,14,拴,1,shuan
m,14,圳,1,zhen
m,14,移,1,yi
m,14,御,1,yu
m,13,户,1,hu
m,13,动,1,dong
m,13,崖,1,ya
m,13,琼,1,qiong
m,13,甸,1,dian
m,13,而,1,er
m,13,仿,1,fang
m,13,荷,1,he
m,13,胡,1,hu
m,13,麻,1,ma
m,13,虔,1,qian
m,13,收,1,shou
m,13,汐,1,xi
m,13,性,1,xing
m,13,舟,1,zhou
m,13,悟,1,wu
m,13,柄,1,bing
m,13,刃,1,ren
m,13,寺,1,si
m,13,涵,1,han
m,13,右,1,you
m,12,栎,1,li
m,12,穆,1,mu
m,12,谱,1,pu
m,12,然,1,ran
m,12,格,1,ge
m,12,毫,1,hao
m,12,谟,1,mo
m,12,受,1,shou
m,12,魏,1,wei
m,12,须,1,xu
m,12,护,1,hu
m,12,目,1,mu
m,12,黔,1,qian
m,12,异,1,yi
m,12,磐,1,pan
m,12,整,1,zheng
m,12,注,1,zhu
m,12,晖,1,hui
m,12,径,1,jing
m,12,纶,1,lun
m,12,卯,1,mao
m,12,神,1,shen
m,12,瀛,1,ying
m,11,筱,1,xiao
m,11,荡,1,dang
m,11,龚,1,gong
m,11,践,1,jian
m,11,粮,1,liang
m,11,吕,1,lv
m,11,旅,1,lv
